ID	ios_fu_score
1001	1
1002	n/a
1003	n/a
1004	2
1006	2
1007	n/a
1009	2
1010	n/a
1011	n/a
1012	2
1013	1
1015	n/a
1016	n/a
1018	n/a
1019	n/a
1021	1
1240	1
1242	3
1243	1
1244	4
1245	1
1247	3
1248	1
1249	1
1251	n/a
1253	2
1255	n/a
1276	2
1282	3
1286	2
1294	2
1300	2
1301	n/a
1302	2
1303	n/a
3101	n/a
3116	5
3122	n/a
3125	5
3140	1
3143	n/a
3146	n/a
3152	2
3164	2
3166	n/a
3167	3
3170	2
3173	1
3175	n/a
3176	n/a
3178	n/a
3186	2
3189	5
3190	1
3199	n/a
3200	1
3206	1
3210	n/a
3212	n/a
3218	n/a
3220	5
3223	n/a
